crop_type,soil_ph,rainfall_mm,temperature_c,humidity_pct,nitrogen,phosphorus,potassium,yield_kg_per_hectare
cotton,5.82,724.6,29.3,82.1,89.7,35.5,43.6,1488.56
sugarcane,5.39,1292.6,26.9,72.4,78.2,19.6,84.3,39367.08
maize,6.7,744.8,30.5,66.5,91.6,79.4,15.0,4427.13
rice,6.8,1091.1,25.4,65.7,91.3,44.9,50.4,3690.9
cotton,6.75,405.6,22.0,70.8,135.8,48.1,52.7,2000.45
sugarcane,7.14,1299.3,25.6,55.7,70.4,47.4,66.6,57453.48
maize,6.93,945.5,26.8,76.4,78.6,43.0,84.4,4337.95
sugarcane,7.17,1829.7,30.7,82.0,122.7,33.4,62.2,68622.18
maize,4.77,873.3,26.3,63.8,113.2,10.0,50.6,2159.29
sugarcane,5.61,1503.3,31.5,76.5,134.7,51.5,25.7,56826.07
sugarcane,6.78,1538.1,36.5,70.5,99.2,57.1,49.9,58806.59
wheat,6.81,581.3,20.0,64.7,60.5,37.4,48.1,2497.49
maize,6.75,446.7,22.2,87.7,109.4,14.9,33.5,3045.6
wheat,6.29,539.9,24.9,48.0,121.8,80.5,94.3,3555.05
cotton,6.45,583.5,31.3,59.3,122.5,44.6,79.4,2267.81
wheat,6.62,406.3,23.2,74.0,71.6,32.7,72.8,2886.5
cotton,5.86,746.3,23.9,89.7,82.6,39.2,71.3,1572.56
rice,6.61,1344.4,29.2,75.0,104.9,48.3,74.3,4150.97
maize,6.4,909.8,29.4,93.0,129.8,42.0,52.1,4095.11
maize,5.77,848.5,22.1,79.0,150.6,30.2,74.3,4749.56
wheat,6.89,323.6,29.1,70.1,128.9,18.0,54.8,2548.25
maize,5.24,622.9,31.5,84.4,96.9,54.1,110.7,3697.46
wheat,5.35,520.8,21.3,75.1,105.5,51.1,97.4,3256.19
cotton,6.28,788.8,32.7,63.2,77.6,35.8,69.2,1750.2
rice,7.04,979.9,24.4,57.5,74.1,23.7,64.0,3375.51
rice,6.96,1378.4,30.8,98.0,130.0,65.4,74.1,5450.51
cotton,5.51,960.0,22.6,84.8,115.2,47.5,62.1,1414.54
sugarcane,7.69,1486.0,33.2,50.2,193.6,78.2,82.3,91563.93
sugarcane,6.52,1313.9,37.4,61.9,84.4,34.6,52.3,46631.68
cotton,5.76,633.2,25.9,58.9,171.8,52.3,29.8,2209.06
sugarcane,6.86,1912.4,25.7,93.8,84.4,22.0,50.3,50274.03
rice,7.09,1400.0,27.3,38.7,95.3,47.5,55.0,4044.32
sugarcane,7.28,1882.5,32.4,81.0,131.3,63.6,34.3,65730.49
sugarcane,7.08,1469.9,32.8,66.5,93.0,48.7,72.7,62858.92
rice,5.73,1043.8,35.8,67.4,128.5,41.7,53.2,3229.13
sugarcane,6.02,1293.1,34.0,76.5,109.3,47.1,80.6,62408.82
sugarcane,7.14,1138.9,27.5,79.1,132.1,10.0,15.0,41526.61
sugarcane,6.43,1689.1,29.9,59.4,176.9,64.2,19.2,69023.86
wheat,5.59,582.3,27.3,73.7,113.2,46.5,49.8,2771.13
rice,7.22,1191.6,29.2,51.5,125.6,18.7,60.8,3615.09
sugarcane,6.14,1830.8,22.9,90.0,99.4,44.9,41.4,48129.95
cotton,7.05,755.0,31.8,83.9,91.1,19.4,38.1,1473.72
wheat,6.76,551.5,20.4,57.2,110.9,54.0,84.0,4303.57
wheat,7.44,767.9,19.6,81.7,59.2,59.1,51.8,2443.3
rice,6.07,1031.2,24.4,57.2,92.7,44.1,42.1,2839.93
sugarcane,5.97,1587.7,25.7,93.6,151.3,36.6,20.7,55824.81
maize,6.79,791.8,16.2,55.4,106.2,44.0,60.2,4342.33
sugarcane,6.6,1463.2,29.2,76.7,72.6,42.4,57.4,56942.63
wheat,7.34,735.0,16.7,63.7,118.5,81.9,57.3,3956.05
cotton,6.21,1035.5,34.3,62.5,150.2,54.5,59.7,2219.34
rice,7.34,810.3,24.9,39.5,100.6,57.9,85.0,4189.73
cotton,6.75,416.3,32.4,77.0,152.4,42.4,57.6,2113.26
rice,7.39,889.7,28.6,66.9,71.5,53.8,69.9,3651.91
maize,6.93,752.3,20.5,75.1,92.4,63.8,50.3,4645.91
wheat,5.1,611.6,15.1,51.8,108.5,28.8,57.5,2202.19
maize,7.2,656.9,23.1,76.1,90.8,22.9,102.5,4083.6
