crop_type,temperature_c,humidity_pct,rainfall_mm,leaf_wetness_hours,prior_disease_history,risk_level
sugarcane,21.2,71.9,39.3,9.3,0,low
wheat,34.6,65.0,55.2,5.8,0,low
wheat,28.2,75.3,446.8,9.8,0,medium
sugarcane,20.7,57.8,20.6,1.9,0,low
wheat,21.2,73.0,43.9,7.8,1,medium
cotton,28.9,69.1,343.1,8.5,1,high
cotton,24.7,98.5,118.7,15.7,0,high
sugarcane,32.0,99.0,47.7,12.7,0,medium
sugarcane,31.5,69.2,163.3,6.4,1,medium
rice,32.8,89.4,33.0,10.0,1,high
sugarcane,25.7,78.1,86.3,10.9,1,high
rice,27.7,60.9,20.6,9.7,1,medium
wheat,39.6,70.9,110.3,10.8,0,low
rice,23.3,71.8,64.8,10.5,1,medium
wheat,28.9,87.9,93.8,12.9,0,high
rice,20.5,71.3,144.1,9.9,0,low
cotton,25.8,99.0,122.9,16.1,1,high
sugarcane,29.9,76.2,21.9,13.2,0,medium
sugarcane,31.5,63.4,86.3,2.7,1,medium
maize,14.5,73.7,49.0,11.4,0,low
maize,26.7,74.2,198.4,9.2,0,medium
rice,24.5,54.8,347.2,5.8,1,medium
wheat,18.7,43.8,23.1,7.5,1,low
rice,37.6,64.9,138.0,5.2,0,low
wheat,27.0,62.8,187.7,8.8,1,high
rice,34.5,74.8,437.1,6.5,1,medium
rice,12.0,99.0,21.9,13.3,1,medium
maize,28.4,85.3,600.0,6.4,0,high
cotton,30.6,84.3,111.8,11.0,0,medium
sugarcane,25.4,65.9,131.6,9.5,0,medium
rice,33.2,70.1,113.0,15.6,0,medium
sugarcane,26.2,74.9,437.7,13.7,1,high
maize,17.5,96.0,146.7,9.0,0,medium
sugarcane,24.6,72.8,122.0,11.2,0,medium
cotton,27.8,71.0,207.0,3.7,0,low
sugarcane,12.0,99.0,173.9,13.4,0,medium
cotton,19.7,86.2,79.9,9.3,0,medium
rice,33.7,62.6,47.4,2.7,0,low
cotton,27.8,83.6,203.6,17.4,0,high
rice,21.9,66.5,84.2,6.6,1,medium
sugarcane,13.0,53.0,23.3,6.7,0,low
wheat,37.3,62.1,85.7,9.1,0,low
maize,20.8,78.0,364.3,9.7,0,medium
rice,21.9,74.7,71.7,8.8,0,medium
maize,20.7,84.6,58.1,12.4,0,medium
maize,32.7,84.2,41.3,16.7,0,medium
rice,37.2,35.0,479.8,5.8,0,low
rice,29.1,81.8,46.4,6.2,0,medium
cotton,24.4,65.2,186.9,7.5,0,medium
rice,24.7,65.8,161.9,7.0,0,medium
sugarcane,27.7,61.2,29.5,8.5,1,medium
wheat,24.9,61.1,42.3,3.5,1,medium
wheat,36.9,71.8,239.3,3.9,1,medium
wheat,24.2,73.1,128.1,7.5,0,medium
maize,33.6,83.6,191.4,8.8,0,medium
wheat,31.7,87.0,108.7,14.5,1,high
cotton,25.1,83.1,342.4,9.3,0,medium
rice,28.7,93.4,156.4,8.9,0,medium
sugarcane,18.8,68.3,82.4,0.0,0,low
wheat,32.5,74.9,94.8,4.8,0,medium
wheat,17.1,77.4,35.2,10.4,0,medium
maize,29.0,58.3,162.1,6.9,1,medium
maize,31.7,75.4,376.0,6.1,0,medium
sugarcane,27.7,61.8,203.0,10.6,0,low
maize,37.2,69.0,27.2,6.3,0,low
wheat,24.9,87.6,49.4,11.1,1,medium
sugarcane,32.4,80.9,112.1,7.7,0,medium
wheat,30.7,54.2,119.3,5.8,0,low
sugarcane,34.2,85.5,47.5,11.9,0,medium
sugarcane,23.5,88.1,35.7,8.1,0,low
