crop_type,soil_ph,nitrogen,phosphorus,potassium,moisture_pct,recommended_fertilizer
sugarcane,6.13,87.0,14.7,59.2,33.4,DAP
rice,5.81,173.6,41.9,46.7,62.0,NPK
rice,6.17,71.1,25.8,84.3,41.5,NPK
wheat,6.51,137.7,37.4,67.8,30.2,NPK
maize,6.16,136.5,36.6,53.6,90.3,NPK
sugarcane,6.33,103.5,5.0,51.1,47.2,DAP
cotton,7.05,62.8,70.5,65.5,60.8,NPK
rice,6.13,72.2,22.5,31.1,20.7,Compost
wheat,6.68,103.9,36.0,53.4,51.7,NPK
cotton,7.1,117.3,5.0,88.3,67.7,DAP
sugarcane,7.05,54.5,29.8,61.9,58.2,NPK
rice,6.11,154.2,53.3,38.5,61.3,NPK
rice,7.88,141.6,30.3,54.4,75.5,NPK
cotton,5.64,58.8,77.4,22.8,40.1,MOP
cotton,6.32,82.3,66.4,47.0,87.5,NPK
rice,6.74,103.8,40.2,40.1,39.1,NPK
wheat,6.52,89.7,68.3,38.4,31.0,NPK
cotton,7.21,82.3,19.5,79.6,43.6,DAP
maize,7.01,55.3,12.8,79.2,85.6,DAP
sugarcane,6.67,102.5,12.8,61.8,57.7,DAP
rice,5.51,94.7,5.0,109.6,23.0,Compost
wheat,6.4,200.0,23.2,92.5,56.5,DAP
cotton,6.48,105.0,61.2,81.1,63.3,NPK
rice,7.29,88.5,24.8,46.1,31.8,DAP
wheat,5.68,41.4,5.0,55.3,86.1,DAP
wheat,7.31,116.7,79.7,44.2,72.7,MOP
rice,6.89,95.8,51.6,87.8,59.2,NPK
maize,5.96,129.2,20.1,36.3,84.1,DAP
sugarcane,6.67,121.8,20.1,110.0,79.3,DAP
rice,6.04,168.3,83.0,110.0,69.4,NPK
wheat,8.46,128.9,26.3,78.6,45.8,Compost
cotton,7.31,111.3,30.6,93.9,27.1,NPK
cotton,7.35,140.3,35.9,58.0,53.1,NPK
sugarcane,5.06,70.5,44.1,36.5,43.6,Compost
rice,5.62,119.6,49.9,68.1,59.9,NPK
sugarcane,6.06,66.2,88.5,18.9,26.3,MOP
maize,5.55,70.1,39.9,79.1,36.4,Compost
rice,6.02,97.2,23.6,73.0,51.2,DAP
